epoch,accuracy,learning_rate,loss,top3_acc,val_accuracy,val_loss,val_top3_acc
0,0.1250845193862915,0.0010000000474974513,3.5207180976867676,0.26267749071121216,0.29501914978027344,2.9966468811035156,0.484674334526062
1,0.2417173832654953,0.0010000000474974513,2.8910646438598633,0.4648410975933075,0.3927203118801117,2.405510663986206,0.5708812475204468
2,0.2883705198764801,0.0010000000474974513,2.679330348968506,0.5311021208763123,0.3639846742153168,2.1962344646453857,0.6302682161331177
3,0.3296146094799042,0.0010000000474974513,2.4804437160491943,0.5625422596931458,0.4367816150188446,2.113006591796875,0.6302682161331177
4,0.35936444997787476,0.0010000000474974513,2.3587732315063477,0.5949966311454773,0.45785441994667053,2.0232625007629395,0.6360152959823608
5,0.34246110916137695,0.0010000000474974513,2.394314765930176,0.5777552127838135,0.5057471394538879,1.9590564966201782,0.6609195470809937
6,0.40601757168769836,0.0010000000474974513,2.173460006713867,0.6267748475074768,0.45402297377586365,1.914798617362976,0.6628352403640747
7,0.386747807264328,0.0010000000474974513,2.215056896209717,0.6091954112052917,0.4885057508945465,1.8725731372833252,0.6570881009101868
8,0.40939822793006897,0.0010000000474974513,2.126774549484253,0.6298174262046814,0.4731800854206085,1.8547642230987549,0.6628352403640747
9,0.42427316308021545,0.0010000000474974513,2.090606451034546,0.6284651756286621,0.40613025426864624,2.432173490524292,0.5957854390144348
10,0.4219066798686981,0.0010000000474974513,2.1158249378204346,0.6315077543258667,0.5057471394538879,1.7882131338119507,0.6628352403640747
11,0.4655172526836395,0.0010000000474974513,1.9630327224731445,0.6521298289299011,0.492337167263031,1.7847553491592407,0.6436781883239746
12,0.4452332556247711,0.0010000000474974513,2.0641562938690186,0.6321839094161987,0.48659002780914307,1.9019975662231445,0.6436781883239746
13,0.4614604413509369,0.0010000000474974513,1.9894293546676636,0.6470588445663452,0.49042144417762756,1.7512925863265991,0.6666666865348816
14,0.4601081907749176,0.0010000000474974513,1.936808705329895,0.6507775783538818,0.501915693283081,1.7946258783340454,0.6685823798179626
15,0.48444893956184387,0.0010000000474974513,1.9079644680023193,0.6501014232635498,0.5363984704017639,1.6794344186782837,0.6704980731010437
16,0.4868154227733612,0.0010000000474974513,1.8764464855194092,0.6497633457183838,0.507662832736969,1.6766477823257446,0.6685823798179626
17,0.4719404876232147,0.0010000000474974513,1.975104570388794,0.6372548937797546,0.5057471394538879,1.7188860177993774,0.6685823798179626
18,0.4736308455467224,0.0010000000474974513,1.8661234378814697,0.6588911414146423,0.48659002780914307,1.699625015258789,0.6781609058380127
19,0.4881676733493805,0.0010000000474974513,1.875112533569336,0.6555104851722717,0.517241358757019,1.7328053712844849,0.6781609058380127
20,0.5050709843635559,0.0010000000474974513,1.8293700218200684,0.6649763584136963,0.532567024230957,1.753663420677185,0.6743295192718506
21,0.5050709843635559,0.0010000000474974513,1.8140571117401123,0.6592292189598083,0.515325665473938,1.679462194442749,0.6685823798179626
22,0.5185936689376831,0.0010000000474974513,1.7691136598587036,0.6643002033233643,0.568965494632721,1.602866291999817,0.6704980731010437
23,0.5341446995735168,0.0010000000474974513,1.7233407497406006,0.6700473427772522,0.5881226062774658,1.5866403579711914,0.6704980731010437
24,0.546991229057312,0.0010000000474974513,1.7250118255615234,0.6720757484436035,0.545976996421814,1.6370502710342407,0.6666666865348816
25,0.5449628233909607,0.0010000000474974513,1.6972646713256836,0.6656524538993835,0.540229856967926,1.8319510221481323,0.6532567143440247
26,0.5189316868782043,0.0010000000474974513,1.7602473497390747,0.6717376708984375,0.5842911601066589,1.602990984916687,0.6819923520088196
27,0.5398918390274048,0.0010000000474974513,1.711533784866333,0.6734279990196228,0.561302661895752,1.6381137371063232,0.6704980731010437
28,0.5348208546638489,0.0010000000474974513,1.7669748067855835,0.6649763584136963,0.5747126340866089,1.5951919555664062,0.6685823798179626
29,0.5179175138473511,0.0010000000474974513,1.801816463470459,0.6599053144454956,0.5555555820465088,1.6492644548416138,0.6743295192718506
30,0.529411792755127,0.0010000000474974513,1.7488795518875122,0.6727518439292908,0.5919540524482727,1.5553869009017944,0.6819923520088196
31,0.5554428696632385,0.0010000000474974513,1.6894595623016357,0.6724137663841248,0.6168582439422607,1.514357089996338,0.6743295192718506
32,0.5679513216018677,0.0010000000474974513,1.6547507047653198,0.6751183271408081,0.6264367699623108,1.4899382591247559,0.6858237385749817
33,0.5628803372383118,0.0010000000474974513,1.6820800304412842,0.6727518439292908,0.6091954112052917,1.5008208751678467,0.6743295192718506
34,0.5733603835105896,0.0010000000474974513,1.6536868810653687,0.6710615158081055,0.5708812475204468,1.6033802032470703,0.6743295192718506
35,0.5473292469978333,0.0010000000474974513,1.731429934501648,0.6737660765647888,0.5842911601066589,1.5965561866760254,0.6609195470809937
36,0.5811359286308289,0.0010000000474974513,1.6198360919952393,0.6734279990196228,0.6034482717514038,1.5456013679504395,0.6724137663841248
37,0.5770791172981262,0.0010000000474974513,1.6434056758880615,0.6761325001716614,0.6015325784683228,1.548643708229065,0.6724137663841248
38,0.5632184147834778,0.0010000000474974513,1.7117732763290405,0.662609875202179,0.6053639650344849,1.5071039199829102,0.6743295192718506
39,0.5750507116317749,0.0010000000474974513,1.6113603115081787,0.6703854203224182,0.6149425506591797,1.4708892107009888,0.6800765991210938
40,0.5730223059654236,0.0010000000474974513,1.5797863006591797,0.68052738904953,0.6072797179222107,1.542128562927246,0.6704980731010437
41,0.5598376989364624,0.0010000000474974513,1.6652779579162598,0.6724137663841248,0.5574712753295898,1.6353405714035034,0.6743295192718506
42,0.5388776063919067,0.0010000000474974513,1.7774921655654907,0.6622717976570129,0.6034482717514038,1.5104525089263916,0.6743295192718506
